"cnpj_basico","cnae_principal","descricao_cnae","cep","bairro","municipio","municipio_nome","capital_social"
"18106932","140","Desconhecido","5641","ES","27","Desconhecido","0.0"
"18106945","58","Desconhecido","7927","PR","45","Desconhecido","0.0"
"18106957","07","Desconhecido","6737","SP","19","Desconhecido","0.0"
"18106972","200","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18106985","103","Desconhecido","6477","SP","11","Desconhecido","0.0"
"18106994","244","Desconhecido","4033","MG","33","Desconhecido","0.0"
"18107008","109","Desconhecido","1471","CE","88","Desconhecido","0.0"
"18107021","2515","Desconhecido","8927","RS","51","Desconhecido","0.0"
"18107035","1090","Desconhecido","8327","SC","48","Desconhecido","0.0"
"18107050","37","Desconhecido","3413","BA","71","Desconhecido","0.0"
"18107063","315","Desconhecido","3849","BA","75","Desconhecido","0.0"
"18107073","739","Desconhecido","8105","SC","48","Desconhecido","0.0"
"18107088","2215","Desconhecido","6425","SP","16","Desconhecido","0.0"
"18107101","78","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18107112","595","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18107122","317","Desconhecido","8047","SC","47","Desconhecido","0.0"
"18107132","39","Desconhecido","5819","RJ","22","Desconhecido","0.0"
"18107143","SN","Desconhecido","6547","SP","15","Desconhecido","0.0"
"18107156","59","Desconhecido","1779","RN","84","Desconhecido","0.0"
"18107168","147","Desconhecido","8443","RS","51","Desconhecido","0.0"
"18107184","845","Desconhecido","7079","SP","16","Desconhecido","0.0"
"18107200","436","Desconhecido","7913","PR","42","Desconhecido","0.0"
"14324023","5038","Desconhecido","0023","RO","69","Desconhecido","0.0"
"18107224","SN","Desconhecido","2931","ES","28","Desconhecido","0.0"
"18107238","30","Desconhecido","2491","PE","81","Desconhecido","0.0"
"18107251","17","Desconhecido","9677","GO","61","Desconhecido","0.0"
"18107264","76","Desconhecido","2705","AL","82","Desconhecido","0.0"
"18107277","111","Desconhecido","0633","PA","93","Desconhecido","0.0"
"18107289","655","Desconhecido","8791","RS","53","Desconhecido","0.0"
"18107303","121","Desconhecido","2785","AL","82","Desconhecido","0.0"
"18107314","10","Desconhecido","6157","SP","15","Desconhecido","0.0"
"18107329","1264","Desconhecido","9095","MT","66","Desconhecido","0.0"
"18107343","14","Desconhecido","9155","MT","65","Desconhecido","0.0"
"18107355","S/N","Desconhecido","7805","PR","46","Desconhecido","0.0"
"18107369","366","Desconhecido","6219","SP","14","Desconhecido","0.0"
"18107381"," 13 A","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18107395","428","Desconhecido","3781","BA","75","Desconhecido","0.0"
"18107406","06","Desconhecido","9167","MT","65","Desconhecido","0.0"
"18107416","573","Desconhecido","7927","PR","45","Desconhecido","0.0"
"18107430","273","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18107444","2498","Desconhecido","8853","RS","55","Desconhecido","0.0"
"18107456","31","Desconhecido","7721","PR","44","Desconhecido","0.0"
"12906013","70","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18107483","95","Desconhecido","3821","BA","74","Desconhecido","0.0"
"18107495","396","Desconhecido","7535","PR","41","Desconhecido","0.0"
"18107506","1391","Desconhecido","8785","RS","54","Desconhecido","0.0"
"18107521","2157","Desconhecido","0411","PA","93","Desconhecido","0.0"
"18107534","34","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18107546","16","Desconhecido","8327","SC","48","Desconhecido","0.0"
"18107554","89","Desconhecido","3807","BA","73","Desconhecido","0.0"
"18107569","213","Desconhecido","9861","MT","65","Desconhecido","0.0"
"18107580","1953","Desconhecido","6589","SP","12","Desconhecido","0.0"
"18107591","262","Desconhecido","6401","SP","11","Desconhecido","0.0"
"18107600","35","Desconhecido","3195","SE","79","Desconhecido","0.0"
"18107613","160","Desconhecido","5347","MG","35","Desconhecido","0.0"
"18107626","35","Desconhecido","0921","MA","98","Desconhecido","0.0"
"18107638","325","Desconhecido","7145","SP","15","Desconhecido","0.0"
"18107650","60","Desconhecido","9067","MT","65","Desconhecido","0.0"
"18107666","703","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18107675","6","Desconhecido","5813","RJ","22","Desconhecido","0.0"
"18107687","961","Desconhecido","7149","SP","19","Desconhecido","0.0"
"18107701","SN","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18107713","40","Desconhecido","7107","SP","11","Desconhecido","0.0"
"17813594","364","Desconhecido","2549","PE","91","Desconhecido","0.0"
"14726351","3486","Desconhecido","0003","RO","69","Desconhecido","0.0"
"18107740","LT  03","Desconhecido","9701","DF","61","Desconhecido","0.0"
"58731662","S/N","Desconhecido","0483","PA","11","Desconhecido","0.0"
"18107760","90","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18107772","40","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18107781","143","Desconhecido","6285","SP","11","Desconhecido","0.0"
"18107794","2519","Desconhecido","7107","SP","11","Desconhecido","0.0"
"13167132","61","Desconhecido","4123","MG","","Desconhecido","0.0"
"18107818","1183","Desconhecido","7535","PR","41","Desconhecido","0.0"
"18107829","S/N","Desconhecido","6105","SP","19","Desconhecido","0.0"
"18107838","SN","Desconhecido","5299","MG","32","Desconhecido","0.0"
"18107850","KM 69","Desconhecido","2427","PE","81","Desconhecido","0.0"
"15339433","20","Desconhecido","5699","ES","27","Desconhecido","0.0"
"17716821","215","Desconhecido","2785","AL","82","Desconhecido","0.0"
"18107880","S/N","Desconhecido","9701","DF","11","Desconhecido","0.0"
"18107887","16","Desconhecido","9167","MT","65","Desconhecido","0.0"
"18107900","92","Desconhecido","9167","MT","65","Desconhecido","0.0"
"18107914","158","Desconhecido","2051","PB","83","Desconhecido","0.0"
"18107925","928","Desconhecido","5403","MG","34","Desconhecido","0.0"
"18107934","271","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18107949","317","Desconhecido","8085","SC","49","Desconhecido","0.0"
"18107960","156","Desconhecido","7057","SP","11","Desconhecido","0.0"
"18107973","30","Desconhecido","4231","MG","35","Desconhecido","0.0"
"18107989","S/N","Desconhecido","5833","RJ","21","Desconhecido","0.0"
"18108004","666","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18108016","160","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18108024","86","Desconhecido","6969","SP","16","Desconhecido","0.0"
"18108039","121","Desconhecido","0201","AM","92","Desconhecido","0.0"
"16444643","404","Desconhecido","1077","PI","89","Desconhecido","0.0"
"18108064","930","Desconhecido","5839","RJ","21","Desconhecido","0.0"
"18108075","11","Desconhecido","0082","TO","63","Desconhecido","0.0"
"13045575","575","Desconhecido","7107","SP","11","Desconhecido","0.0"
"15481503","700","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18108112","6041","Desconhecido","0003","RO","69","Desconhecido","0.0"
"18108123","200","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18108133","1409","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18108146","28","Desconhecido","9067","MT","65","Desconhecido","0.0"
"18108155","158","Desconhecido","5847","RJ","22","Desconhecido","0.0"
"18108169","320","Desconhecido","8683","RS","51","Desconhecido","0.0"
"18108182","82","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18108196","66","Desconhecido","6213","SP","11","Desconhecido","0.0"
"18108205","176","Desconhecido","7053","SP","16","Desconhecido","0.0"
"11925896","38","Desconhecido","5625","ES","27","Desconhecido","0.0"
"18108223","510","Desconhecido","7107","SP","11","Desconhecido","0.0"
"09619200","S/N","Desconhecido","0426","RN","84","Desconhecido","0.0"
"18108250","1715","Desconhecido","6543","SP","13","Desconhecido","0.0"
"17211950","1959","Desconhecido","7097","SP","17","Desconhecido","0.0"
"18108269","3654","Desconhecido","5869","RJ","21","Desconhecido","0.0"
"91110486","45","Desconhecido","9825","RS","51","Desconhecido","0.0"
"18108293","88","Desconhecido","7667","PR","43","Desconhecido","0.0"
"18108309","134","Desconhecido","7117","SP","19","Desconhecido","0.0"
"18108319","118","Desconhecido","2051","PB","83","Desconhecido","0.0"
"18108334","418","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18108344","529","Desconhecido","6477","SP","11","Desconhecido","0.0"
"18108355","824","Desconhecido","0255","AM","92","Desconhecido","0.0"
"18108367","5034","Desconhecido","7237","SP","19","Desconhecido","0.0"
"18108380","63","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18108395","350","Desconhecido","4947","MG","31","Desconhecido","0.0"
"18108406","5515","Desconhecido","1761","RN","84","Desconhecido","0.0"
"18108419","741","Desconhecido","0817","MA","99","Desconhecido","0.0"
"18108429","497","Desconhecido","7885","PR","41","Desconhecido","0.0"
"18108442","110","Desconhecido","9373","GO","62","Desconhecido","0.0"
"18108454","196","Desconhecido","4767","MG","32","Desconhecido","0.0"
"18108465","28","Desconhecido","0849","MA","98","Desconhecido","0.0"
"18108477","60","Desconhecido","4607","MG","35","Desconhecido","0.0"
"18108493","206","Desconhecido","7135","SP","16","Desconhecido","0.0"
"18108505","1368","Desconhecido","5897","RJ","21","Desconhecido","0.0"
"18108518","500","Desconhecido","4623","MG","33","Desconhecido","0.0"
"18108531","432","Desconhecido","7493","PR","45","Desconhecido","0.0"
"17557039","527","Desconhecido","9665","TO","63","Desconhecido","0.0"
"18108557","525","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18108568","1.240","Desconhecido","9073","MS","67","Desconhecido","0.0"
"18108581","10","Desconhecido","6789","SP","11","Desconhecido","0.0"
"18108596","172","Desconhecido","6323","SP","17","Desconhecido","0.0"
"18108607","31","Desconhecido","0921","MA","98","Desconhecido","0.0"
"18108622","257","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18108633","221","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18108644","457","Desconhecido","9067","MT","65","Desconhecido","0.0"
"18108659","52","Desconhecido","6967","SP","11","Desconhecido","0.0"
"18108668","609","Desconhecido","5403","MG","34","Desconhecido","0.0"
"18108681","28","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18108694","905","Desconhecido","7569","PR","44","Desconhecido","0.0"
"18108706","0","Desconhecido","5923","RJ","24","Desconhecido","0.0"
"18108719","1208","Desconhecido","7907","PR","43","Desconhecido","0.0"
"18108732","110","Desconhecido","7079","SP","16","Desconhecido","0.0"
"18108745","134","Desconhecido","4541","MG","34","Desconhecido","0.0"
"18108758","800","Desconhecido","7097","SP","16","Desconhecido","0.0"
"18108773","SN","Desconhecido","8207","SC","47","Desconhecido","0.0"
"18108788","375","Desconhecido","8043","SC","47","Desconhecido","0.0"
"18108799","256","Desconhecido","6477","SP","11","Desconhecido","0.0"
"18108810","345","Desconhecido","8783","RS","54","Desconhecido","0.0"
"18108826","593","Desconhecido","2933","ES","27","Desconhecido","0.0"
"18108836","35","Desconhecido","3515","BA","75","Desconhecido","0.0"
"18108849","707","Desconhecido","7493","PR","45","Desconhecido","0.0"
"18108858","1145","Desconhecido","6713","SP","11","Desconhecido","0.0"
"18108870","28","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18108880","4875","Desconhecido","7493","PR","45","Desconhecido","0.0"
"18108892","231","Desconhecido","6717","SP","19","Desconhecido","0.0"
"18108904","1022","Desconhecido","0265","AM","92","Desconhecido","0.0"
"18108916","243","Desconhecido","4665","MG","33","Desconhecido","0.0"
"18108931","379","Desconhecido","6563","SP","11","Desconhecido","0.0"
"18108939","205","Desconhecido","6173","SP","17","Desconhecido","0.0"
"18108947","S/N","Desconhecido","6237","SP","14","Desconhecido","0.0"
"18108959","78","Desconhecido","9621","TO","63","Desconhecido","0.0"
"18108970","056","Desconhecido","8595","RS","54","Desconhecido","0.0"
"18108984","42","Desconhecido","0427","PA","91","Desconhecido","0.0"
"18108994","450","Desconhecido","6875","SP","19","Desconhecido","0.0"
"17569176","84","Desconhecido","4921","MG","31","Desconhecido","0.0"
"18109020","373","Desconhecido","9373","GO","62","Desconhecido","0.0"
"18109034","178","Desconhecido","9425","GO","62","Desconhecido","0.0"
"18109046","5058","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18109060","7015","Desconhecido","4723","MG","31","Desconhecido","0.0"
"18109073","163","Desconhecido","7535","PR","41","Desconhecido","0.0"
"18109085","101","Desconhecido","6681","SP","18","Desconhecido","0.0"
"18109095","S/N","Desconhecido","9733","TO","63","Desconhecido","0.0"
"18011949","240","Desconhecido","8589","RS","51","Desconhecido","0.0"
"18109117","374","Desconhecido","1411","CE","88","Desconhecido","0.0"
"18109133","453","Desconhecido","3827","BA","75","Desconhecido","0.0"
"18109143","136","Desconhecido","6003","RJ","24","Desconhecido","0.0"
"18109156","396","Desconhecido","0938","SC","49","Desconhecido","0.0"
"18109170","S/N","Desconhecido","9289","GO","64","Desconhecido","0.0"
"18109182","461","Desconhecido","1141","PI","86","Desconhecido","0.0"
"18109192","141","Desconhecido","1037","PI","11","Desconhecido","0.0"
"18109205","40","Desconhecido","5293","MG","35","Desconhecido","0.0"
"18109219","29","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18109230","165","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18109241","290","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"04830481","2095","Desconhecido","8047","SC","49","Desconhecido","0.0"
"18109267","1217","Desconhecido","4865","MG","38","Desconhecido","0.0"
"18109278","100","Desconhecido","6969","SP","16","Desconhecido","0.0"
"18109288","30","Desconhecido","7183","SP","12","Desconhecido","0.0"
"18109299","306","Desconhecido","7535","PR","41","Desconhecido","0.0"
"18107332","320","Desconhecido","3821","BA","74","Desconhecido","0.0"
"18109325","235","Desconhecido","5703","ES","27","Desconhecido","0.0"
"18109336","1628","Desconhecido","9573","GO","62","Desconhecido","0.0"
"02776407","336","Desconhecido","7099","SP","12","Desconhecido","0.0"
"18109359","3799","Desconhecido","0427","PA","91","Desconhecido","0.0"
"18109369","709","Desconhecido","7511","PR","46","Desconhecido","0.0"
"18109384","302","Desconhecido","7099","SP","12","Desconhecido","0.0"
"18109395","81","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18109409","200","Desconhecido","0523","PA","91","Desconhecido","0.0"
"18109424","842","Desconhecido","0447","PA","91","Desconhecido","0.0"
"18109436","2237","Desconhecido","7885","PR","41","Desconhecido","0.0"
"18109450","254","Desconhecido","8589","RS","51","Desconhecido","0.0"
"17208651","307","Desconhecido","5419","MG","34","Desconhecido","0.0"
"17680697","05","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18109483","11","Desconhecido","5721","ES","27","Desconhecido","0.0"
"18109495","SN","Desconhecido","3965","BA","77","Desconhecido","0.0"
"18109507","2574","Desconhecido","7535","PR","41","Desconhecido","0.0"
"16751753","52","Desconhecido","6455","SP","16","Desconhecido","0.0"
"18109531","130","Desconhecido","7777","PR","42","Desconhecido","0.0"
"18109544","300","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18109554","03","Desconhecido","0793","MA","99","Desconhecido","0.0"
"09139157","S/N","Desconhecido","1323","CE","85","Desconhecido","0.0"
"18109574","S/N","Desconhecido","9403","GO","62","Desconhecido","0.0"
"18109588","20","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18109604","653","Desconhecido","9997","MS","67","Desconhecido","0.0"
"18109618","1965","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18109632","61","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18109643","375","Desconhecido","6377","SP","11","Desconhecido","0.0"
"16985493","227","Desconhecido","1583","CE","88","Desconhecido","0.0"
"18109665","S/N","Desconhecido","6231","SP","11","Desconhecido","0.0"
"18109674","252","Desconhecido","6883","SP","11","Desconhecido","0.0"
"18109685","106","Desconhecido","6789","SP","11","Desconhecido","0.0"
"18109697","3881 S","Desconhecido","9925","MT","65","Desconhecido","0.0"
"15567078","564","Desconhecido","0632","MG","33","Desconhecido","0.0"
"18109724","235","Desconhecido","7535","PR","41","Desconhecido","0.0"
"18109734","1357 B","Desconhecido","0605","AP","96","Desconhecido","0.0"
"18109749","5654","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18109761","500","Desconhecido","3669","BA","74","Desconhecido","0.0"
"18109773","497","Desconhecido","8179","SC","47","Desconhecido","0.0"
"18109787","44","Desconhecido","7099","SP","12","Desconhecido","0.0"
"18109800","1053","Desconhecido","9017","MS","67","Desconhecido","0.0"
"18109813","631","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18109825","796","Desconhecido","4365","MG","31","Desconhecido","0.0"
"18109837","245","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18109852","79","Desconhecido","1449","CE","88","Desconhecido","0.0"
"18109866","3561","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18109879","2194","Desconhecido","4031","MG","35","Desconhecido","0.0"
"18109890","1652","Desconhecido","5897","RJ","21","Desconhecido","0.0"
"18109899","520","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18109911","212","Desconhecido","7535","PR","41","Desconhecido","0.0"
"17005339","790","Desconhecido","6619","SP","11","Desconhecido","0.0"
"18109939","SN","Desconhecido","3663","BA","75","Desconhecido","0.0"
"13182333","76","Desconhecido","2051","PB","83","Desconhecido","0.0"
"18109961","15459","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18109973","92","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18109984","001","Desconhecido","3413","BA","71","Desconhecido","0.0"
"18109992","298","Desconhecido","5699","ES","27","Desconhecido","0.0"
"18110004","186","Desconhecido","5815","RJ","21","Desconhecido","0.0"
"18110019","190","Desconhecido","5403","MG","34","Desconhecido","0.0"
"18110034","476","Desconhecido","7493","PR","45","Desconhecido","0.0"
"18110042","41","Desconhecido","3515","BA","75","Desconhecido","0.0"
"18110058","447","Desconhecido","8955","RS","51","Desconhecido","0.0"
"18110068","1000","Desconhecido","1567","CE","88","Desconhecido","0.0"
"18110081","205","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18110093","2128","Desconhecido","8865","RS","55","Desconhecido","0.0"
"18110104","77","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18110119","S/N","Desconhecido","9701","DF","61","Desconhecido","0.0"
"12589512","66B","Desconhecido","2521","PE","87","Desconhecido","0.0"
"18110143","328","Desconhecido","2041","PB","83","Desconhecido","0.0"
"18110157","620","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18110169","18","Desconhecido","4979","MG","32","Desconhecido","0.0"
"17186673","62","Desconhecido","4267","MG","33","Desconhecido","0.0"
"18110193","516","Desconhecido","7151","SP","11","Desconhecido","0.0"
"18110202","271","Desconhecido","7099","SP","12","Desconhecido","0.0"
"18110217","712","Desconhecido","8131","SC","49","Desconhecido","0.0"
"18110230","SN","Desconhecido","5901","RJ","21","Desconhecido","0.0"
"18110242","243","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18110255","25 27","Desconhecido","6219","SP","14","Desconhecido","0.0"
"18110264","515","Desconhecido","6475","SP","13","Desconhecido","0.0"
"18110277","373","Desconhecido","3611","BA","73","Desconhecido","0.0"
"18110290","18","Desconhecido","5819","RJ","22","Desconhecido","0.0"
"18110302","68","Desconhecido","7885","PR","41","Desconhecido","0.0"
"18110316","153","Desconhecido","8105","SC","48","Desconhecido","0.0"
"18110327","309","Desconhecido","8267","SC","42","Desconhecido","0.0"
"18110336","443","Desconhecido","6639","SP","19","Desconhecido","0.0"
"18110349","22","Desconhecido","9397","GO","62","Desconhecido","0.0"
"18110364","194","Desconhecido","8683","RS","51","Desconhecido","0.0"
"02295642","S/N","Desconhecido","5317","MG","38","Desconhecido","0.0"
"18110385","940","Desconhecido","8105","SC","48","Desconhecido","0.0"
"18110400","358","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18110410","379","Desconhecido","8821","RS","55","Desconhecido","0.0"
"18110422","SN","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18110431","202","Desconhecido","7535","PR","41","Desconhecido","0.0"
"18110441","03","Desconhecido","8985","MT","66","Desconhecido","0.0"
"18110455","61","Desconhecido","5853","RJ","21","Desconhecido","0.0"
"18110468","389","Desconhecido","6475","SP","13","Desconhecido","0.0"
"18110480","2988","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18110491","15A","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18110506","4","Desconhecido","7197","SP","12","Desconhecido","0.0"
"18110520","68","Desconhecido","8839","RS","51","Desconhecido","0.0"
"18110531","1257-A","Desconhecido","9819","MT","66","Desconhecido","0.0"
"16509858","570","Desconhecido","9067","MT","65","Desconhecido","0.0"
"69122893","1032","Desconhecido","7107","SP","11","Desconhecido","0.0"
"17600460","150","Desconhecido","2595","PE","87","Desconhecido","0.0"
"18110574","230","Desconhecido","7075","SP","11","Desconhecido","0.0"
"18110587","S/N","Desconhecido","6449","SP","17","Desconhecido","0.0"
"18110597","79","Desconhecido","7495","PR","42","Desconhecido","0.0"
"18110609","25","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18110621","1058","Desconhecido","7735","PR","42","Desconhecido","0.0"
"18110632","638","Desconhecido","6595","SP","19","Desconhecido","0.0"
"18110644","500","Desconhecido","8589","RS","51","Desconhecido","0.0"
"03503152","490","Desconhecido","5819","RJ","21","Desconhecido","0.0"
"18110663","172","Desconhecido","6927","SP","18","Desconhecido","0.0"
"18110675","S/N","Desconhecido","9571","GO","64","Desconhecido","0.0"
"18110688","240","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18110701","27","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18110711","246","Desconhecido","6795","SP","14","Desconhecido","0.0"
"18110724","S/N","Desconhecido","1052","GO","61","Desconhecido","0.0"
"18110737","318","Desconhecido","0427","PA","91","Desconhecido","0.0"
"18110751","1634","Desconhecido","0763","MA","99","Desconhecido","0.0"
"18110764","40","Desconhecido","1759","RN","84","Desconhecido","0.0"
"18110776","105","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18110790","S N","Desconhecido","5819","RJ","22","Desconhecido","0.0"
"18110801","341","Desconhecido","2531","PE","81","Desconhecido","0.0"
"18110813","523","Desconhecido","9385","TO","63","Desconhecido","0.0"
"18110826","297","Desconhecido","6477","SP","11","Desconhecido","0.0"
"18110839","828","Desconhecido","6493","SP","16","Desconhecido","0.0"
"18110851","154B","Desconhecido","3713","BA","75","Desconhecido","0.0"
"18110862","174","Desconhecido","7145","SP","15","Desconhecido","0.0"
"18110876","S/N","Desconhecido","9733","TO","63","Desconhecido","0.0"
"18110888","16","Desconhecido","0425","PA","91","Desconhecido","0.0"
"18110900","62","Desconhecido","2269","PI","89","Desconhecido","0.0"
"18110911","26","Desconhecido","5697","ES","27","Desconhecido","0.0"
"18110922","SN","Desconhecido","9445","GO","61","Desconhecido","0.0"
"18110933","25","Desconhecido","8691","RS","55","Desconhecido","0.0"
"18110944","73","Desconhecido","6921","SP","13","Desconhecido","0.0"
"18110956","616","Desconhecido","9963","SC","49","Desconhecido","0.0"
"18110971","546","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18110984","1489","Desconhecido","4031","MG","35","Desconhecido","0.0"
"18110997","557","Desconhecido","5697","ES","27","Desconhecido","0.0"
"18111014","474","Desconhecido","6983","SP","11","Desconhecido","0.0"
"18111026","49","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18111041","120","Desconhecido","5869","RJ","21","Desconhecido","0.0"
"18111052","78","Desconhecido","3363","BA","11","Desconhecido","0.0"
"18111065","339","Desconhecido","6291","SP","19","Desconhecido","0.0"
"18111079","97","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18111089","21","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18111102","340","Desconhecido","5877","RJ","21","Desconhecido","0.0"
"18111114","995","Desconhecido","7145","SP","15","Desconhecido","0.0"
"18111127","426 N","Desconhecido","9831","MT","66","Desconhecido","0.0"
"18111136","360","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18111148","800","Desconhecido","7145","SP","15","Desconhecido","0.0"
"18111158","105","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18111169","543","Desconhecido","5699","ES","27","Desconhecido","0.0"
"18111184","515","Desconhecido","7667","PR","43","Desconhecido","0.0"
"18111197","109","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18111208","401","Desconhecido","4733","MG","32","Desconhecido","0.0"
"18111222","S/N","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18111236","95","Desconhecido","0427","PA","91","Desconhecido","0.0"
"18111248","09","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18111259","51","Desconhecido","1159","PI","89","Desconhecido","0.0"
"18111269","317","Desconhecido","7075","SP","11","Desconhecido","0.0"
"18111282","552","Desconhecido","7057","SP","11","Desconhecido","0.0"
"09157115","120","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18111304","394","Desconhecido","7057","SP","11","Desconhecido","0.0"
"18111315","28","Desconhecido","2965","SP","13","Desconhecido","0.0"
"18111326","03","Desconhecido","7071","SP","13","Desconhecido","0.0"
"18111341","354","Desconhecido","7675","PR","44","Desconhecido","0.0"
"18111355","05","Desconhecido","7107","SP","11","Desconhecido","0.0"
"07954514","S/N","Desconhecido","1547","CE","85","Desconhecido","0.0"
"18111382","47","Desconhecido","7169","SP","17","Desconhecido","0.0"
"01734826","SN","Desconhecido","1987","PB","83","Desconhecido","0.0"
"18111407","61","Desconhecido","5403","MG","34","Desconhecido","0.0"
"18111418","SN","Desconhecido","2785","AL","82","Desconhecido","0.0"
"18111431","5715","Desconhecido","8967","RS","51","Desconhecido","0.0"
"18111445","463","Desconhecido","7225","SP","19","Desconhecido","0.0"
"18111455","102","Desconhecido","6511","SP","19","Desconhecido","0.0"
"18111462","SN","Desconhecido","6497","SP","17","Desconhecido","0.0"
"18111472","830","Desconhecido","8785","RS","11","Desconhecido","0.0"
"18111488","18","Desconhecido","9315","GO","64","Desconhecido","0.0"
"18111499","15","Desconhecido","5833","RJ","21","Desconhecido","0.0"
"18111509","SN","Desconhecido","9717","TO","30","Desconhecido","0.0"
"18111525","2490","Desconhecido","8233","SC","48","Desconhecido","0.0"
"18111539","514","Desconhecido","8105","SC","48","Desconhecido","0.0"
"18111552","306","Desconhecido","8179","SC","47","Desconhecido","0.0"
"18111564","106","Desconhecido","2051","PB","83","Desconhecido","0.0"
"13396534","SN","Desconhecido","8207","SC","47","Desconhecido","0.0"
"18111587","1655","Desconhecido","4133","MG","31","Desconhecido","0.0"
"18111601","246","Desconhecido","6179","SP","18","Desconhecido","0.0"
"18111610","2439","Desconhecido","1046","MT","65","Desconhecido","0.0"
"14217321","1653","Desconhecido","9873","MT","11","Desconhecido","0.0"
"18111636","135","Desconhecido","8127","SC","47","Desconhecido","0.0"
"18111648","311","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18111659","360","Desconhecido","6375","SP","19","Desconhecido","0.0"
"18111669","242","Desconhecido","6563","SP","11","Desconhecido","0.0"
"18111681","694","Desconhecido","6563","SP","11","Desconhecido","0.0"
"10809065","1150","Desconhecido","4553","MG","33","Desconhecido","0.0"
"18111699","49","Desconhecido","8147","SC","47","Desconhecido","0.0"
"18111714","239","Desconhecido","4779","MG","35","Desconhecido","0.0"
"18111727","2100","Desconhecido","9819","MT","66","Desconhecido","0.0"
"18111739","676","Desconhecido","2951","SP","19","Desconhecido","0.0"
"18111753","558","Desconhecido","2673","MG","31","Desconhecido","0.0"
"18111761","339","Desconhecido","4941","MG","37","Desconhecido","0.0"
"08845749","56","Desconhecido","4733","MG","32","Desconhecido","0.0"
"18111786","711","Desconhecido","6477","SP","11","Desconhecido","0.0"
"18111797","77","Desconhecido","8045","SC","48","Desconhecido","0.0"
"18111809","2649","Desconhecido","6853","SP","13","Desconhecido","0.0"
"18111820","247","Desconhecido","6789","SP","11","Desconhecido","0.0"
"18111832","308","Desconhecido","1981","PB","83","Desconhecido","0.0"
